sic,sic_2,sic_class,sic_industry
7933,79,I,Services
7941,79,I,Services
7948,79,I,Services
7953,79,I,Services
7984,79,I,Services
7991,79,I,Services
7992,79,I,Services
7993,79,I,Services
7996,79,I,Services
7997,79,I,Services
7999,79,I,Services
8009,80,I,Services
8011,80,I,Services
8021,80,I,Services
8031,80,I,Services
8041,80,I,Services
8042,80,I,Services
8043,80,I,Services
8049,80,I,Services
8051,80,I,Services
8052,80,I,Services
8059,80,I,Services
8062,80,I,Services
8063,80,I,Services
8069,80,I,Services
8071,80,I,Services
8072,80,I,Services
8081,80,I,Services
8082,80,I,Services
8091,80,I,Services
8092,80,I,Services
8093,80,I,Services
8099,80,I,Services
8111,81,I,Services
8211,82,I,Services
8221,82,I,Services
8222,82,I,Services
8229,82,I,Services
8231,82,I,Services
8241,82,I,Services
8243,82,I,Services
8244,82,I,Services
8249,82,I,Services
8299,82,I,Services
8317,83,I,Services
8321,83,I,Services
8322,83,I,Services
8331,83,I,Services
8351,83,I,Services
8361,83,I,Services
8399,83,I,Services
8411,84,I,Services
8412,84,I,Services
8421,84,I,Services
8422,84,I,Services
8611,86,I,Services
8621,86,I,Services
8631,86,I,Services
8641,86,I,Services
8651,86,I,Services
8661,86,I,Services
8699,86,I,Services
8711,87,I,Services
8712,87,I,Services
8713,87,I,Services
8721,87,I,Services
8731,87,I,Services
8732,87,I,Services
8733,87,I,Services
8734,87,I,Services
8741,87,I,Services
8742,87,I,Services
8743,87,I,Services
8744,87,I,Services
8748,87,I,Services
8784,87,I,Services
8811,88,I,Services
8911,89,I,Services
8922,89,I,Services
8931,89,I,Services
8999,89,I,Services
9111,91,J,Public Administration
9121,91,J,Public Administration
9131,91,J,Public Administration
9199,91,J,Public Administration
9211,92,J,Public Administration
9221,92,J,Public Administration
9222,92,J,Public Administration
9223,92,J,Public Administration
9224,92,J,Public Administration
9229,92,J,Public Administration
9311,93,J,Public Administration
9411,94,J,Public Administration
9431,94,J,Public Administration
9441,94,J,Public Administration
9451,94,J,Public Administration
9511,95,J,Public Administration
9512,95,J,Public Administration
9531,95,J,Public Administration
9532,95,J,Public Administration
9611,96,J,Public Administration
9621,96,J,Public Administration
9631,96,J,Public Administration
9641,96,J,Public Administration
9651,96,J,Public Administration
9661,96,J,Public Administration
9711,97,J,Public Administration
9721,97,J,Public Administration
9999,99,J,Public Administration
