ZIP_CODE,DENSITY,sex_ratio,MEDAGE
2542,35.9,0.761355431,27.2
2543,509,-0.080969063,55.4
2552,52.2,0,50
2553,0,NA,0
2554,226.2,0.046803666,39.4
2556,771.5,-0.138463692,54.8
2557,0,NA,0
2558,0,NA,0
2559,495.7,-0.088763753,52.5
2561,0,NA,0
2562,1045.5,-0.093995255,43.1
2563,746.5,-0.095605535,46.1
2564,0,NA,0
2565,0,NA,0
2568,281.4,-0.054685978,45.1
2571,519.8,-0.082832069,43
2574,0,NA,0
2575,0,NA,0
2576,452.8,-0.09824823,45
2584,0,NA,0
2601,1307,-0.046326984,42.3
2630,389.6,-0.078858575,56.5
2631,430.8,-0.145344846,53.4
2632,1387.7,-0.113702587,48.5
2633,349,-0.072897086,56.7
2634,1429.1,-0.336472237,47.5
2635,633.2,-0.049385902,49.6
2637,0,NA,0
2638,513.5,-0.133047904,59.2
2639,1030.5,-0.098187555,49.1
2641,0,NA,0
2642,332.6,-0.136493104,56.2
2643,0,NA,0
2644,1063.5,-0.039813774,38.6
2645,564.9,-0.116910189,50.7
2646,673.6,-0.230216599,58.4
2647,0,NA,0
2648,680.1,-0.052135358,46.7
2649,596.1,-0.135959411,47.4
2650,334.2,-0.232495657,61.9
2651,657.5,-0.121479898,54.1
2652,0,NA,0
2653,392.6,-0.118378856,59.2
2655,548.5,-0.11544604,51.1
2657,285.1,0.163576198,52.3
2659,612.2,-0.085051233,53.9
2660,674.4,-0.161867309,54.9
2661,742.7,-0.165667122,56.4
2662,503.2,-0.084765267,59.7
2663,93.6,-0.04755254,54.1
2664,1178.1,-0.133835685,51.9
2666,0,NA,0
2667,144.4,-0.133735787,53.5
2668,209.7,-0.087876285,47.6
2669,0,NA,0
2670,660.4,-0.146130493,56.5
2671,475.5,-0.14172816,54.9
2672,0,NA,0
2673,908.4,-0.103843065,46.4
2675,738.1,-0.177223281,57.2
2702,276.5,0.003045688,42.4
2703,1572.3,-0.047465926,39.3
2712,0,NA,0
2713,0,NA,0
2714,939.4,0.137201122,22.1
2715,305,0.004618946,39.7
2717,257.7,0.012462473,42.4
2718,633.6,-0.040364885,38
2719,1267,-0.072434919,44.9
2720,1398.4,-0.096923963,40.5
2721,4849.4,-0.088611612,36.3
2722,7180.8,-0.186877373,44.5
2723,8474.7,-0.104161213,35.8
